"","","","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)"
"Netherlands"," Data source"," All types","","8.03","8.16","8.54","9.28","9.17","9.32"
"Netherlands"," Data source"," Beer","","3.83","3.84","4.21","4.34","4.35","4.36"
"Netherlands"," Data source"," Wine","","2.88","3.00","3.01","3.37","3.38","3.39"
"Netherlands"," Data source"," Spirits","","1.32","1.32","1.32","1.57","1.45","1.57"
"Netherlands"," Data source"," Other alcoholic beverages","","0","0","0","0","0","0"
"New Zealand"," Data source"," All types","9.24","8.87","9.15","9.25","9.24","9.48","9.63"
"New Zealand"," Data source"," Beer","3.46","3.35","3.39","3.49","3.41","3.66","3.68"
"New Zealand"," Data source"," Wine","3.08","2.97","3.19","3.05","3.03","3.02","3.23"
"New Zealand"," Data source"," Spirits","2.67","2.53","2.55","2.69","2.78","2.77","2.69"
"New Zealand"," Data source"," Other alcoholic beverages","0.03","0.03","0.02","0.02","0.03","0.03","0.04"
"Nicaragua"," Data source"," All types","3.86","3.73","3.54","3.56","3.61","3.36","3.34"
"Nicaragua"," Data source"," Beer","1.53","1.45","1.38","1.35","1.32","1.32","1.32"
"Nicaragua"," Data source"," Wine","0.03","0.03","0.02","0.02","0.02","0.02","0.02"
"Nicaragua"," Data source"," Spirits","2.30","2.25","2.13","2.19","2.26","2.02","2.01"
"Nicaragua"," Data source"," Other alcoholic beverages","0","0","0","0","0","0","0"
"Niger"," Data source"," All types","","0.11","0.11","0.10","0.16","0.13","0.11"
"Niger"," Data source"," Beer","","0.05","0.05","0.04","0.05","0.05","0.05"
"Niger"," Data source"," Wine","","0.01","0.01","0.01","0.02","0.01","0.01"
"Niger"," Data source"," Spirits","","0.04","0.04","0.04","0.09","0.07","0.05"
"Niger"," Data source"," Other alcoholic beverages","","0","0","0","0","0","0"
"Nigeria"," Data source"," All types","","9.62","9.64","9.63","9.90","10.13","10.31"
"Nigeria"," Data source"," Beer","","0.76","0.76","0.76","0.75","0.75","0.70"
"Nigeria"," Data source"," Wine","","0.04","0.05","0.05","0.05","0.04","0.03"
"Nigeria"," Data source"," Spirits","","0.06","0.06","0.06","0.06","0.06","0.08"
"Nigeria"," Data source"," Other alcoholic beverages","","8.76","8.76","8.76","9.04","9.28","9.50"
"Niue"," Data source"," All types","","","","10.57","11.29","5.99","4.90"
"Niue"," Data source"," Beer","","","","5.95","2.91","3.13","1.90"
"Niue"," Data source"," Wine","","","","1.39","1.21","0.74","0.60"
"Niue"," Data source"," Spirits","","","","3.23","7.17","2.12","2.40"
"Niue"," Data source"," Other alcoholic beverages","","","","0","0","0","0"
"Norway"," Data source"," All types","6.03","5.97","6.06","6.22","6.21","6.44","6.59"
"Norway"," Data source"," Beer","2.65","2.57","2.62","2.68","2.67","2.83","2.91"
"Norway"," Data source"," Wine","2.21","2.22","2.25","2.30","2.29","2.30","2.29"
"Norway"," Data source"," Spirits","1.01","1.03","1.04","1.09","1.11","1.18","1.25"
"Norway"," Data source"," Other alcoholic beverages","0.16","0.15","0.15","0.14","0.14","0.13","0.14"
"Oman"," Data source"," All types","0.39","0.39","0.39","0.42","0.48","0.51","0.53"
"Oman"," Data source"," Beer","0.16","0.16","0.16","0.17","0.18","0.20","0.21"
"Oman"," Data source"," Wine","0.01","0.02","0.02","0.01","0.03","0.02","0.03"
"Oman"," Data source"," Spirits","0.22","0.22","0.22","0.24","0.27","0.28","0.29"
"Oman"," Data source"," Other alcoholic beverages","0","0","0","0","0","0","0"
"Pakistan"," Data source"," All types","0.04","0.04","0.04","0.03","0.03","0.04","0.04"
"Pakistan"," Data source"," Beer","0","0","0","0","0","0","0"
"Pakistan"," Data source"," Wine","0","0","0","0","0","0","0"
"Pakistan"," Data source"," Spirits","0.04","0.04","0.03","0.03","0.03","0.03","0.03"
"Pakistan"," Data source"," Other alcoholic beverages","0","0","0","0","0","0","0"
"Panama"," Data source"," All types","6.69","6.92","7.29","7.35","7.11","7.05","6.90"
"Panama"," Data source"," Beer","5.14","5.37","5.74","5.52","5.14","5.05","4.86"
"Panama"," Data source"," Wine","0.23","0.24","0.24","0.25","0.24","0.24","0.22"
"Panama"," Data source"," Spirits","1.30","1.30","1.29","1.56","1.71","1.75","1.80"
"Panama"," Data source"," Other alcoholic beverages","0.02","0.02","0.02","0.02","0.02","0.02","0.02"
"Papua New Guinea"," Data source"," All types","","0.71","0.76","0.83","0.87","0.88","0.79"
"Papua New Guinea"," Data source"," Beer","","0.68","0.73","0.80","0.83","0.85","0.76"
"Papua New Guinea"," Data source"," Wine","","0.02","0.02","0.02","0.03","0.02","0.01"
"Papua New Guinea"," Data source"," Spirits","","0.02","0.02","0.02","0.02","0.01","0.02"
"Papua New Guinea"," Data source"," Other alcoholic beverages","","0","0","0","0","0","0"
"Paraguay"," Data source"," All types","5.80","5.63","6.07","6.14","6.17","6.60","6.81"
"Paraguay"," Data source"," Beer","3.15","3.13","3.17","3.20","3.21","3.32","3.28"
"Paraguay"," Data source"," Wine","1.01","0.81","1.13","1.14","1.14","1.40","1.66"
"Paraguay"," Data source"," Spirits","1.58","1.63","1.70","1.74","1.76","1.83","1.83"
"Paraguay"," Data source"," Other alcoholic beverages","0.06","0.06","0.07","0.06","0.06","0.06","0.05"
"Peru"," Data source"," All types","","5.10","5.14","5.06","5.38","5.26","5.28"
"Peru"," Data source"," Beer","","3.06","3.09","3.07","3.19","3.09","3.13"
"Peru"," Data source"," Wine","","0.41","0.42","0.36","0.57","0.54","0.49"
"Peru"," Data source"," Spirits","","1.62","1.62","1.62","1.61","1.62","1.65"
"Peru"," Data source"," Other alcoholic beverages","","0","0.01","0.01","0.01","0.01","0.01"
"Philippines"," Data source"," All types","4.55","4.41","4.55","4.53","4.95","4.90","4.78"
"Philippines"," Data source"," Beer","1.24","1.12","1.11","1.10","1.26","1.29","1.29"
"Philippines"," Data source"," Wine","0.02","0.02","0.02","0.02","0.04","0.04","0.04"
"Philippines"," Data source"," Spirits","3.28","3.26","3.39","3.39","3.63","3.45","3.30"
"Philippines"," Data source"," Other alcoholic beverages","0.01","0","0.02","0.02","0.03","0.13","0.15"
"Poland"," Data source"," All types","10.43","10.48","10.45","10.79","10.19","10.21","10.04"
"Poland"," Data source"," Beer","5.85","5.83","5.80","5.74","5.83","5.54","5.30"
"Poland"," Data source"," Wine","0.82","0.89","0.89","0.82","0.83","0.90","0.97"
"Poland"," Data source"," Spirits","3.76","3.76","3.76","4.23","3.53","3.76","3.76"
"Poland"," Data source"," Other alcoholic beverages","0","0","0","0","0","0","0"
"Portugal"," Data source"," All types","10.66","10.54","10.35","10.54","10.86","11.91","12.23"
"Portugal"," Data source"," Beer","2.79","2.69","2.71","2.81","2.82","3.12","3.36"
"Portugal"," Data source"," Wine","6.55","6.54","6.38","6.50","6.76","7.43","7.47"
"Portugal"," Data source"," Spirits","0.82","0.82","0.82","0.82","0.86","0.92","0.93"
"Portugal"," Data source"," Other alcoholic beverages","0.50","0.48","0.44","0.41","0.42","0.45","0.47"
"Puerto Rico"," Data source"," All types","","","4.96","4.87","4.80","4.63","4.66"
"Puerto Rico"," Data source"," Beer","","","3.35","3.22","3.10","3.12","3.16"
"Puerto Rico"," Data source"," Wine","","","0.40","0.34","0.33","0.32","0.32"
"Puerto Rico"," Data source"," Spirits","","","1.16","1.25","1.30","1.12","1.11"
"Puerto Rico"," Data source"," Other alcoholic beverages","","","0.06","0.06","0.06","0.07","0.07"
"Qatar"," Data source"," All types","1.31","1.26","1.20","1.24","1.16","1.17","1.14"
"Qatar"," Data source"," Beer","0.34","0.33","0.33","0.33","0.34","0.32","0.33"
"Qatar"," Data source"," Wine","0.13","0.13","0.13","0.17","0.12","0.13","0.11"
"Qatar"," Data source"," Spirits","0.83","0.79","0.73","0.74","0.70","0.71","0.70"
"Qatar"," Data source"," Other alcoholic beverages","0.01","0.01","0.01","0.01","0","0","0.01"
"Republic of Korea"," Data source"," All types","","9.06","8.95","8.77","8.98","8.86","8.90"
"Republic of Korea"," Data source"," Beer","","2.01","2.01","2.10","1.98","1.93","1.89"
"Republic of Korea"," Data source"," Wine","","0.17","0.15","0.15","0.13","0.13","0.14"
"Republic of Korea"," Data source"," Spirits","","0.64","0.39","0.38","0.37","0.38","0.40"
"Republic of Korea"," Data source"," Other alcoholic beverages","","6.24","6.39","6.14","6.50","6.42","6.48"
"Republic of Moldova"," Data source"," All types","9.30","9.39","9.14","9.62","9.85","8.67","7.55"
"Republic of Moldova"," Data source"," Beer","1.50","1.52","1.62","1.78","1.95","1.83","1.65"
"Republic of Moldova"," Data source"," Wine","5.26","5.25","4.84","4.85","4.86","3.58","2.59"
"Republic of Moldova"," Data source"," Spirits","2.35","2.43","2.47","2.77","2.82","3.04","3.09"
"Republic of Moldova"," Data source"," Other alcoholic beverages","0.19","0.19","0.21","0.22","0.21","0.21","0.22"
"Romania"," Data source"," All types","","10.40","10.46","10.59","10.55","10.40","10.79"
"Romania"," Data source"," Beer","","5.78","4.90","5.10","5.00","4.70","4.50"
"Romania"," Data source"," Wine","","2.92","3.20","3.10","2.80","2.80","2.60"
"Romania"," Data source"," Spirits","","1.70","1.40","1.40","1.10","1.40","1.90"
"Romania"," Data source"," Other alcoholic beverages","","0","0","0","0","0","0"
"Russian Federation"," Data source"," All types","8.42","8.41","8.85","9.92","10.89","10.95","10.98"
"Russian Federation"," Data source"," Beer","3.29","3.49","3.64","3.96","4.17","4.13","4.09"
"Russian Federation"," Data source"," Wine","1.08","0.87","0.89","0.84","0.93","0.96","1.02"
"Russian Federation"," Data source"," Spirits","3.25","3.36","3.60","4.36","4.95","5.04","5.06"
"Russian Federation"," Data source"," Other alcoholic beverages","0.80","0.69","0.72","0.76","0.84","0.82","0.81"
"Rwanda"," Data source"," All types","","6.91","6.83","6.90","7.13","7.30","7.70"
"Rwanda"," Data source"," Beer","","1.02","0.95","1.02","0.98","0.88","0.81"
"Rwanda"," Data source"," Wine","","0.01","0.01","0.01","0","0","0"
"Rwanda"," Data source"," Spirits","","0.19","0.19","0.19","0.13","0.09","0.04"
"Rwanda"," Data source"," Other alcoholic beverages","","5.68","5.68","5.68","6.02","6.33","6.85"
"Saint Kitts and Nevis"," Data source"," All types","8.86","8.80","8.58","8.51","8.46","8.27","8.38"
"Saint Kitts and Nevis"," Data source"," Beer","4.23","4.15","4.01","3.96","3.91","3.78","3.79"
"Saint Kitts and Nevis"," Data source"," Wine","0.58","0.58","0.37","0.36","0.35","0.31","0.55"
"Saint Kitts and Nevis"," Data source"," Spirits","3.84","3.88","4.00","4.02","4.04","3.99","3.84"
"Saint Kitts and Nevis"," Data source"," Other alcoholic beverages","0.21","0.19","0.20","0.17","0.16","0.20","0.19"
"Saint Lucia"," Data source"," All types","9.69","9.66","9.50","9.26","9.63","10.26","10.68"
"Saint Lucia"," Data source"," Beer","3.43","3.36","3.27","3.28","3.28","3.27","3.28"
"Saint Lucia"," Data source"," Wine","1.28","1.28","1.29","1.18","1.17","1.30","1.45"
"Saint Lucia"," Data source"," Spirits","4.85","4.87","4.78","4.67","5.04","5.33","5.55"
"Saint Lucia"," Data source"," Other alcoholic beverages","0.13","0.14","0.15","0.13","0.14","0.36","0.40"
"Saint Vincent and the Grenadines"," Data source"," All types","7.44","7.25","6.99","6.89","6.93","7.02","6.99"
"Saint Vincent and the Grenadines"," Data source"," Beer","2.72","2.60","2.49","2.41","2.34","2.35","2.32"
"Saint Vincent and the Grenadines"," Data source"," Wine","0.27","0.27","0.22","0.17","0.33","0.30","0.33"
"Saint Vincent and the Grenadines"," Data source"," Spirits","4.26","4.21","4.12","4.16","4.15","4.26","4.22"
"Saint Vincent and the Grenadines"," Data source"," Other alcoholic beverages","0.19","0.17","0.16","0.15","0.12","0.10","0.12"
"Samoa"," Data source"," All types","","1.97","2.01","1.90","2.19","2.16","3.01"
"Samoa"," Data source"," Beer","","1.86","1.88","1.81","2.09","1.94","2.57"
"Samoa"," Data source"," Wine","","0.12","0.13","0.09","0.10","0.09","0.09"
"Samoa"," Data source"," Spirits","","0","0","0","0","0.12","0.35"
"Samoa"," Data source"," Other alcoholic beverages","","0","0","0","0","0","0"
"Sao Tome and Principe"," Data source"," All types","","4.85","5.39","4.78","4.83","5.90","5.80"
"Sao Tome and Principe"," Data source"," Beer","","0.96","0.96","0.96","0.49","0.72","0.85"
"Sao Tome and Principe"," Data source"," Wine","","3.89","4.43","3.82","4.34","4.64","4.39"
"Sao Tome and Principe"," Data source"," Spirits","","0","0","0","0","0.54","0.56"
"Sao Tome and Principe"," Data source"," Other alcoholic beverages","","0","0","0","0","0","0"
"Saudi Arabia"," Data source"," All types","","0.08","0.08","0.08","0.08","0.09","0.08"
"Saudi Arabia"," Data source"," Beer","","0","0","0","0","0","0"
"Saudi Arabia"," Data source"," Wine","","0","0","0","0","0","0"
"Saudi Arabia"," Data source"," Spirits","","0.08","0.08","0.08","0.08","0.09","0.08"
"Saudi Arabia"," Data source"," Other alcoholic beverages","","0","0","0","0","0","0"
"Senegal"," Data source"," All types","","0.25","0.25","0.25","0.28","0.31","0.28"
"Senegal"," Data source"," Beer","","0.14","0.14","0.14","0.14","0.15","0.14"
"Senegal"," Data source"," Wine","","0.08","0.08","0.08","0.11","0.13","0.12"
"Senegal"," Data source"," Spirits","","0.02","0.02","0.03","0.03","0.03","0.03"
"Senegal"," Data source"," Other alcoholic beverages","","0","0","0","0","0","0"
"Serbia"," Data source"," All types","9.17","9.13","8.77","9.06","9.05","8.96","9.09"
"Serbia"," Data source"," Beer","2.94","2.95","2.61","2.90","3.15","2.93","2.85"
"Serbia"," Data source"," Wine","3.89","3.89","3.88","3.90","3.61","3.75","3.95"
"Serbia"," Data source"," Spirits","2.32","2.28","2.26","2.24","2.27","2.27","2.27"
"Serbia"," Data source"," Other alcoholic beverages","0.01","0.01","0.01","0.01","0.01","0.01","0.01"
"Seychelles"," Data source"," All types","","11.50","9.77","9.36","8.16","8.58","5.92"
"Seychelles"," Data source"," Beer","","7.92","6.73","6.48","5.49","4.83","2.71"
"Seychelles"," Data source"," Wine","","2.57","2.15","2.09","1.89","2.98","2.56"
"Seychelles"," Data source"," Spirits","","0.72","0.71","0.70","0.72","0.65","0.59"
"Seychelles"," Data source"," Other alcoholic beverages","","0.28","0.18","0.09","0.06","0.12","0.06"
"Sierra Leone"," Data source"," All types","","3.42","3.40","3.53","3.60","3.84","3.91"
"Sierra Leone"," Data source"," Beer","","0.14","0.13","0.24","0.20","0.19","0.18"
"Sierra Leone"," Data source"," Wine","","0.04","0.03","0.04","0.03","0.03","0.02"
"Sierra Leone"," Data source"," Spirits","","0","0","0","0","0.02","0.02"
"Sierra Leone"," Data source"," Other alcoholic beverages","","3.25","3.25","3.25","3.36","3.59","3.68"
"Singapore"," Data source"," All types","1.81","1.80","1.83","1.84","1.93","1.89","1.84"
"Singapore"," Data source"," Beer","1.27","1.25","1.28","1.23","1.34","1.31","1.29"
"Singapore"," Data source"," Wine","0.26","0.27","0.27","0.28","0.27","0.27","0.25"
"Singapore"," Data source"," Spirits","0.24","0.25","0.24","0.29","0.29","0.28","0.27"
"Singapore"," Data source"," Other alcoholic beverages","0.04","0.03","0.03","0.03","0.03","0.03","0.03"
"Slovakia"," Data source"," All types","10.14","10.78","10.89","10.54","10.66","10.78","10.55"
"Slovakia"," Data source"," Beer","3.42","3.44","3.32","3.43","3.67","3.55","3.44"
"Slovakia"," Data source"," Wine","2.12","2.61","2.84","2.37","2.13","2.25","2.13"
"Slovakia"," Data source"," Spirits","4.24","4.27","4.14","4.14","4.38","4.50","4.62"
"Slovakia"," Data source"," Other alcoholic beverages","0.35","0.47","0.59","0.59","0.47","0.47","0.36"
"Slovenia"," Data source"," All types","10.51","11.49","10.92","9.53","10.95","10.61","10.31"
"Slovenia"," Data source"," Beer","4.35","5.73","5.37","4.55","4.58","4.94","4.59"
"Slovenia"," Data source"," Wine","5.32","4.90","4.73","4.09","5.50","4.81","4.85"
"Slovenia"," Data source"," Spirits","0.84","0.86","0.82","0.89","0.87","0.86","0.89"
"Slovenia"," Data source"," Other alcoholic beverages","0","0","0","0","0","0","0"
"Solomon Islands"," Data source"," All types","","0.98","0.95","0.98","1.00","1.05","1.09"
"Solomon Islands"," Data source"," Beer","","0.94","0.91","0.94","0.96","0.99","0.99"
"Solomon Islands"," Data source"," Wine","","0.03","0.03","0.04","0.04","0.03","0.03"
"Solomon Islands"," Data source"," Spirits","","0","0","0","0","0.03","0.07"
"Solomon Islands"," Data source"," Other alcoholic beverages","","0","0","0","0","0","0"
"Somalia"," Data source"," All types","","0","0","0","0","0","0"
"Somalia"," Data source"," Beer","","0","0","0","0","0","0"
"Somalia"," Data source"," Wine","","0","0","0","0","0","0"
"Somalia"," Data source"," Spirits","","0","0","0","0","0","0"
"Somalia"," Data source"," Other alcoholic beverages","","0","0","0","0","0","0"
"South Africa"," Data source"," All types","7.12","7.12","7.17","7.19","7.26","7.28","7.28"
"South Africa"," Data source"," Beer","3.99","3.94","4.00","4.07","4.15","4.21","4.19"
"South Africa"," Data source"," Wine","1.32","1.30","1.24","1.19","1.21","1.22","1.22"
"South Africa"," Data source"," Spirits","1.27","1.31","1.31","1.31","1.31","1.29","1.33"
"South Africa"," Data source"," Other alcoholic beverages","0.54","0.56","0.62","0.62","0.59","0.55","0.54"
"Spain"," Data source"," All types","8.58","8.26","8.70","8.77","8.83","9.01","9.78"
"Spain"," Data source"," Beer","4.64","4.51","4.35","4.42","4.41","4.40","4.87"
"Spain"," Data source"," Wine","1.55","1.55","2.16","2.15","2.21","2.20","2.15"
"Spain"," Data source"," Spirits","2.39","2.21","2.19","2.20","2.20","2.42","2.76"
"Spain"," Data source"," Other alcoholic beverages","0","0","0","0","0","0","0"
"Sri Lanka"," Data source"," All types","","2.72","2.45","2.65","2.89","3.03","2.31"
"Sri Lanka"," Data source"," Beer","","0.36","0.37","0.40","0.40","0.28","0.30"
"Sri Lanka"," Data source"," Wine","","0.01","0.01","0","0","0","0"
"Sri Lanka"," Data source"," Spirits","","2.31","2.03","2.18","2.43","2.70","1.97"
"Sri Lanka"," Data source"," Other alcoholic beverages","","0.04","0.05","0.06","0.06","0.05","0.04"
"Sudan"," Data source"," All types","","","","0.06","0","",""
"Sudan"," Data source"," Beer","","","","0.04","0","",""
"Sudan"," Data source"," Wine","","","","0","0","",""
"Sudan"," Data source"," Spirits","","","","0.02","0","",""
"Sudan"," Data source"," Other alcoholic beverages","","","","0","0","",""
"Suriname"," Data source"," All types","4.22","4.69","5.41","5.95","5.75","5.66","5.27"
"Suriname"," Data source"," Beer","1.90","2.05","2.15","2.11","2.07","2.04","2.03"
"Suriname"," Data source"," Wine","0.15","0.15","0.17","0.19","0.11","0.16","0.13"
"Suriname"," Data source"," Spirits","2.06","2.36","2.94","3.41","3.34","3.25","2.94"
"Suriname"," Data source"," Other alcoholic beverages","0.12","0.14","0.16","0.23","0.23","0.21","0.18"
"Sweden"," Data source"," All types","7.18","7.16","7.20","7.32","7.23","7.34","7.31"
"Sweden"," Data source"," Beer","2.61","2.62","2.64","2.65","2.63","2.70","2.67"
"Sweden"," Data source"," Wine","3.43","3.42","3.46","3.50","3.43","3.47","3.40"
"Sweden"," Data source"," Spirits","1.01","1.01","0.99","1.06","1.05","1.05","1.11"
"Sweden"," Data source"," Other alcoholic beverages","0.12","0.11","0.11","0.11","0.12","0.12","0.13"
"Switzerland"," Data source"," All types","9.43","9.62","9.62","9.74","9.87","9.99","10.01"
"Switzerland"," Data source"," Beer","3.03","3.17","3.17","3.17","3.17","3.17","3.18"
"Switzerland"," Data source"," Wine","4.54","4.58","4.58","4.69","4.70","4.82","4.94"
"Switzerland"," Data source"," Spirits","1.75","1.76","1.76","1.76","1.88","1.88","1.77"
"Switzerland"," Data source"," Other alcoholic beverages","0.12","0.12","0.12","0.12","0.12","0.12","0.12"
"Syrian Arab Republic"," Data source"," All types","","0.23","0.20","0.15","0.21","0.60","0.76"
"Syrian Arab Republic"," Data source"," Beer","","0.03","0.02","0.01","0.02","0.08","0.10"
"Syrian Arab Republic"," Data source"," Wine","","0","0","0","0","0.01","0.01"
"Syrian Arab Republic"," Data source"," Spirits","","0.20","0.18","0.13","0.19","0.51","0.65"
"Syrian Arab Republic"," Data source"," Other alcoholic beverages","","0","0","0","0","0","0"
"Tajikistan"," Data source"," All types","0.91","0.90","0.87","0.79","0.76","0.70","0.67"
"Tajikistan"," Data source"," Beer","0.35","0.36","0.40","0.39","0.36","0.36","0.29"
"Tajikistan"," Data source"," Wine","0.01","0.01","0.02","0.02","0.02","0.02","0.02"
"Tajikistan"," Data source"," Spirits","0.56","0.53","0.45","0.38","0.38","0.32","0.37"
"Tajikistan"," Data source"," Other alcoholic beverages","0","0","0","0","0","0","0"
"Thailand"," Data source"," All types","","6.57","6.90","6.79","7.09","7.14","6.70"
"Thailand"," Data source"," Beer","","1.86","2.10","2.22","2.11","1.94","1.86"
"Thailand"," Data source"," Wine","","0.18","0.18","0.17","0.15","0.12","0.09"
"Thailand"," Data source"," Spirits","","4.53","4.62","4.40","4.83","5.08","4.75"
"Thailand"," Data source"," Other alcoholic beverages","","0","0","0","0","0","0"
"Republic of North Macedonia"," Data source"," All types","4.83","4.68","3.75","3.81","3.74","3.74","3.76"
"Republic of North Macedonia"," Data source"," Beer","1.70","1.67","1.66","1.72","1.67","1.61","1.60"
"Republic of North Macedonia"," Data source"," Wine","2.25","2.15","1.23","1.23","1.24","1.26","1.26"
"Republic of North Macedonia"," Data source"," Spirits","0.84","0.84","0.83","0.83","0.81","0.85","0.87"
"Republic of North Macedonia"," Data source"," Other alcoholic beverages","0.03","0.03","0.03","0.03","0.02","0.02","0.02"
"Timor-Leste"," Data source"," All types","","0.56","0.56","0.56","0.57","0.46","0.09"
"Timor-Leste"," Data source"," Beer","","0.38","0.38","0.38","0.39","0.33","0.02"
"Timor-Leste"," Data source"," Wine","","0.18","0.18","0.18","0.19","0.08","0.05"
"Timor-Leste"," Data source"," Spirits","","0","0","0","0","0.05","0.02"
"Timor-Leste"," Data source"," Other alcoholic beverages","","0","0","0","0","0","0"
"Togo"," Data source"," All types","","1.66","1.66","1.63","1.38","1.53","1.30"
"Togo"," Data source"," Beer","","0.61","0.61","0.58","0.52","0.49","0.63"
"Togo"," Data source"," Wine","","0.26","0.27","0.27","0.36","0.34","0.29"
"Togo"," Data source"," Spirits","","0.30","0.30","0.30","0.31","0.35","0.02"
"Togo"," Data source"," Other alcoholic beverages","","0.48","0.48","0.48","0.18","0.36","0.37"
"Tonga"," Data source"," All types","","","","0.37","0.54","0.96","1.24"
"Tonga"," Data source"," Beer","","","","0.22","0.35","0.53","0.92"
"Tonga"," Data source"," Wine","","","","0.04","0.12","0.10","0.09"
"Tonga"," Data source"," Spirits","","","","0.10","0.07","0.32","0.23"
"Tonga"," Data source"," Other alcoholic beverages","","","","0","0","0","0"
"Trinidad and Tobago"," Data source"," All types","7.52","6.87","6.88","6.68","6.68","6.50","6.50"
"Trinidad and Tobago"," Data source"," Beer","4.35","3.73","3.68","3.60","3.58","3.51","3.53"
"Trinidad and Tobago"," Data source"," Wine","0.25","0.25","0.29","0.20","0.15","0.13","0.13"
"Trinidad and Tobago"," Data source"," Spirits","2.79","2.77","2.79","2.78","2.84","2.76","2.75"
"Trinidad and Tobago"," Data source"," Other alcoholic beverages","0.12","0.13","0.13","0.11","0.11","0.10","0.10"
"Tunisia"," Data source"," All types","1.40","1.42","1.49","1.40","1.39","1.28","1.27"
"Tunisia"," Data source"," Beer","1.01","1.04","0.95","0.85","0.85","0.85","0.87"
"Tunisia"," Data source"," Wine","0.34","0.33","0.48","0.48","0.48","0.38","0.35"
"Tunisia"," Data source"," Spirits","0.05","0.05","0.05","0.06","0.06","0.06","0.06"
"Tunisia"," Data source"," Other alcoholic beverages","0","0","0","0","0","0","0.01"
"Turkey"," Data source"," All types","1.29","1.40","1.44","1.40","1.53","1.51","1.49"
"Turkey"," Data source"," Beer","0.74","0.80","0.83","0.78","0.90","0.84","0.86"
"Turkey"," Data source"," Wine","0.11","0.13","0.13","0.13","0.12","0.12","0.13"
"Turkey"," Data source"," Spirits","0.44","0.47","0.48","0.49","0.51","0.55","0.50"
"Turkey"," Data source"," Other alcoholic beverages","0","0","0","0","0","0","0"
"Turkmenistan"," Data source"," All types","3.43","3.39","3.85","3.88","3.70","3.56","3.55"
"Turkmenistan"," Data source"," Beer","0.92","0.87","0.81","0.83","0.64","0.44","0.35"
"Turkmenistan"," Data source"," Wine","1.21","1.22","1.76","1.76","1.76","1.80","1.88"
"Turkmenistan"," Data source"," Spirits","1.31","1.30","1.28","1.29","1.30","1.31","1.32"
"Turkmenistan"," Data source"," Other alcoholic beverages","0","0","0","0","0","0","0"
"Tuvalu"," Data source"," All types","","","","1.63","1.91","1.34","1.02"
"Tuvalu"," Data source"," Beer","","","","0.01","0","0.13","0.11"
"Tuvalu"," Data source"," Wine","","","","1.38","1.79","1.15","0.55"
"Tuvalu"," Data source"," Spirits","","","","0.23","0.12","0.06","0.36"
"Tuvalu"," Data source"," Other alcoholic beverages","","","","0","0","0","0"
"Uganda"," Data source"," All types","","7.63","7.67","7.58","8.30","11.59","11.30"
"Uganda"," Data source"," Beer","","0.84","0.89","0.79","0.93","0.74","0.69"
"Uganda"," Data source"," Wine","","0.01","0.01","0.01","0.01","0.01","0.01"
"Uganda"," Data source"," Spirits","","0.23","0.23","0.23","0.29","0.22","0.16"
"Uganda"," Data source"," Other alcoholic beverages","","6.54","6.54","6.54","7.07","10.63","10.44"
"Ukraine"," Data source"," All types","5.82","5.75","6.22","7.11","8.18","8.77","8.81"
"Ukraine"," Data source"," Beer","2.46","2.46","2.94","3.21","3.27","3.31","3.36"
"Ukraine"," Data source"," Wine","0.31","0.32","0.32","0.38","0.48","0.58","0.60"
"Ukraine"," Data source"," Spirits","3.00","2.56","2.56","3.04","3.88","4.28","4.24"
"Ukraine"," Data source"," Other alcoholic beverages","0.04","0.40","0.40","0.48","0.55","0.61","0.61"
"United Arab Emirates"," Data source"," All types","2.10","2.03","1.94","1.86","1.79","1.76","1.70"
"United Arab Emirates"," Data source"," Beer","0.21","0.21","0.20","0.19","0.19","0.18","0.19"
"United Arab Emirates"," Data source"," Wine","0.16","0.14","0.14","0.12","0.12","0.11","0.11"
"United Arab Emirates"," Data source"," Spirits","1.72","1.68","1.60","1.54","1.48","1.46","1.40"
"United Arab Emirates"," Data source"," Other alcoholic beverages","0.01","0.01","0.01","0.01","0.01","0.01","0.01"
"United Kingdom of Great Britain and Northern Ireland"," Data source"," All types","9.81","9.82","9.69","9.65","9.76","10.02","10.22"
"United Kingdom of Great Britain and Northern Ireland"," Data source"," Beer","3.44","3.49","3.48","3.38","3.46","3.65","3.76"
"United Kingdom of Great Britain and Northern Ireland"," Data source"," Wine","3.50","3.48","3.38","3.36","3.30","3.30","3.30"
"United Kingdom of Great Britain and Northern Ireland"," Data source"," Spirits","2.21","2.13","2.07","2.09","2.16","2.17","2.25"
"United Kingdom of Great Britain and Northern Ireland"," Data source"," Other alcoholic beverages","0.66","0.73","0.76","0.83","0.84","0.90","0.91"
"United Republic of Tanzania"," Data source"," All types","","6.16","6.16","6.20","5.84","6.62","6.65"
"United Republic of Tanzania"," Data source"," Beer","","0.75","0.76","0.80","0.76","0.69","0.66"
"United Republic of Tanzania"," Data source"," Wine","","0.02","0.02","0.02","0.02","0.01","0.01"
