"","","","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)"
"Bulgaria"," Data source"," Beer","4.45","4.22","4.06","4.26","4.30","4.10","4.01"
"Bulgaria"," Data source"," Wine","1.97","1.96","1.74","1.53","1.93","1.72","1.73"
"Bulgaria"," Data source"," Spirits","4.92","4.99","4.76","4.87","4.98","5.16","5.02"
"Bulgaria"," Data source"," Other alcoholic beverages","0.14","0.13","0.11","0.09","0.08","0.07","0.07"
"Burkina Faso"," Data source"," All types","","4.87","4.85","4.63","4.64","4.51","4.65"
"Burkina Faso"," Data source"," Beer","","0.88","0.85","0.67","0.63","0.53","0.46"
"Burkina Faso"," Data source"," Wine","","0.13","0.14","0.10","0.10","0.18","0.17"
"Burkina Faso"," Data source"," Spirits","","0.24","0.24","0.24","0.20","0.13","0.12"
"Burkina Faso"," Data source"," Other alcoholic beverages","","3.62","3.62","3.62","3.70","3.67","3.90"
"Burundi"," Data source"," All types","","","","","","4.16","4.16"
"Burundi"," Data source"," Beer","","","","","","1.63","1.59"
"Burundi"," Data source"," Wine","","","","","","0","0"
"Burundi"," Data source"," Spirits","","","","","","0","0"
"Burundi"," Data source"," Other alcoholic beverages","","","","","","2.51","2.56"
"Cabo Verde"," Data source"," All types","","4.12","3.88","3.53","4.98","5.06","4.73"
"Cabo Verde"," Data source"," Beer","","2.27","2.27","2.27","2.31","2.81","2.51"
"Cabo Verde"," Data source"," Wine","","1.85","1.62","1.26","1.52","1.55","1.62"
"Cabo Verde"," Data source"," Spirits","","0","0","0","1.16","0.70","0.61"
"Cabo Verde"," Data source"," Other alcoholic beverages","","0","0","0","0","0","0"
"Cambodia"," Data source"," All types","3.50","3.32","3.04","2.78","2.50","2.38","2.14"
"Cambodia"," Data source"," Beer","3.08","2.92","2.63","2.37","2.09","1.98","1.75"
"Cambodia"," Data source"," Wine","0.02","0","0","0","0","0","0"
"Cambodia"," Data source"," Spirits","0.39","0.39","0.40","0.41","0.41","0.40","0.39"
"Cambodia"," Data source"," Other alcoholic beverages","0","0","0","0","0","0","0"
"Cameroon"," Data source"," All types","","6.50","6.71","6.67","6.35","6.12","6.17"
"Cameroon"," Data source"," Beer","","2.83","3.01","2.98","2.81","2.50","2.53"
"Cameroon"," Data source"," Wine","","0.09","0.13","0.11","0.11","0.11","0.09"
"Cameroon"," Data source"," Spirits","","0.01","0.01","0.01","0.02","0","0.01"
"Cameroon"," Data source"," Other alcoholic beverages","","3.57","3.57","3.57","3.41","3.51","3.54"
"Canada"," Data source"," All types","8.20","8.00","8.10","8.20","8.30","8.20","8.40"
"Canada"," Data source"," Beer","3.70","3.70","3.80","3.90","4.00","4.00","4.20"
"Canada"," Data source"," Wine","2.10","2.00","2.00","2.00","2.00","1.90","1.90"
"Canada"," Data source"," Spirits","2.10","2.00","2.00","2.10","2.10","2.10","2.10"
"Canada"," Data source"," Other alcoholic beverages","0.30","0.30","0.30","0.20","0.20","0.20","0.20"
"Central African Republic"," Data source"," All types","","1.68","1.59","1.46","1.72","1.77","1.82"
"Central African Republic"," Data source"," Beer","","0.43","0.36","0.22","0.31","0.32","0.29"
"Central African Republic"," Data source"," Wine","","0.01","0","0","0","0.01","0.02"
"Central African Republic"," Data source"," Spirits","","0","0","0","0","0.02","0.04"
"Central African Republic"," Data source"," Other alcoholic beverages","","1.23","1.23","1.23","1.41","1.42","1.48"
"Chad"," Data source"," All types","","0.69","0.68","0.63","0.63","0.60","0.55"
"Chad"," Data source"," Beer","","0.48","0.47","0.42","0.37","0.37","0.32"
"Chad"," Data source"," Wine","","0.01","0.01","0.01","0.04","0.05","0.05"
"Chad"," Data source"," Spirits","","0.04","0.04","0.04","0.04","0.04","0.03"
"Chad"," Data source"," Other alcoholic beverages","","0.16","0.16","0.16","0.18","0.14","0.15"
"Chile"," Data source"," All types","","7.89","7.92","7.23","8.35","7.02","7.55"
"Chile"," Data source"," Beer","","2.85","2.79","2.67","2.55","2.51","2.35"
"Chile"," Data source"," Wine","","2.61","2.85","2.37","2.65","2.51","3.10"
"Chile"," Data source"," Spirits","","2.43","2.28","2.19","3.15","2.00","2.10"
"Chile"," Data source"," Other alcoholic beverages","","0","0","0","0","0","0"
"China"," Data source"," All types","5.74","5.74","5.81","5.81","5.74","5.65","5.75"
"China"," Data source"," Beer","1.70","1.76","1.88","1.90","1.83","1.77","1.67"
"China"," Data source"," Wine","0.18","0.17","0.16","0.17","0.18","0.21","0.17"
"China"," Data source"," Spirits","3.86","3.81","3.76","3.73","3.72","3.67","3.98"
"China"," Data source"," Other alcoholic beverages","0","0","0","0","0","0","0"
"Colombia"," Data source"," All types","4.46","4.43","4.30","4.33","4.35","4.29","4.21"
"Colombia"," Data source"," Beer","3.18","3.13","2.99","2.98","2.99","2.90","2.80"
