"","","","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)"
"Kiribati"," Data source"," Other alcoholic beverages","0","0","0","0","0.01","0.01","0","0","0","0"
"Kuwait"," Data source"," All types","0.10","0.03","0.03","0.01","0.01","0.02","0.03","0.01","0.01","0.01"
"Kuwait"," Data source"," Beer","0.09","0.02","0.02","0","0","0","0.02","0","0","0"
"Kuwait"," Data source"," Wine","0","0","0","0","0","0.01","0","0","0","0"
"Kuwait"," Data source"," Spirits","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01"
"Kuwait"," Data source"," Other alcoholic beverages","0","0","0","0","0","0","0","0","0","0"
"Kyrgyzstan"," Data source"," All types","5.99","7.28","6.97","6.77","6.52","6.74","6.43","5.89","5.74","5.32"
"Kyrgyzstan"," Data source"," Beer","0.48","1.00","0.75","0.65","0.65","0.70","0.54","0.36","0.32","0.26"
"Kyrgyzstan"," Data source"," Wine","0.12","0.12","0.12","0.12","0.12","0.14","0.21","0.22","0.22","0.09"
"Kyrgyzstan"," Data source"," Spirits","5.39","6.16","6.10","6.00","5.75","5.90","5.68","5.31","5.20","4.97"
"Kyrgyzstan"," Data source"," Other alcoholic beverages","0","0","0","0","0","0","0","0","0","0"
"Lao People's Democratic Republic"," Data source"," All types","5.30","5.20","5.07","3.73","3.71","3.56","3.43","3.35","3.14","5.19"
"Lao People's Democratic Republic"," Data source"," Beer","2.20","2.06","1.77","1.51","1.42","1.23","1.12","1.02","0.94","0.85"
"Lao People's Democratic Republic"," Data source"," Wine","0","0","0","0","0","0","0","0","0.01","0.02"
"Lao People's Democratic Republic"," Data source"," Spirits","3.10","3.14","3.31","2.23","2.29","2.32","2.31","2.33","2.19","4.32"
"Lao People's Democratic Republic"," Data source"," Other alcoholic beverages","0","0","0","0","0","0","0","0","0","0"
"Latvia"," Data source"," All types","9.85","11.84","12.12","10.40","9.92","8.81","8.24","7.44","6.68","7.13"
"Latvia"," Data source"," Beer","4.35","4.12","4.15","4.09","3.80","3.69","2.97","2.74","2.12","1.97"
"Latvia"," Data source"," Wine","1.03","1.13","1.18","1.06","0.94","0.95","1.78","1.50","1.38","1.60"
"Latvia"," Data source"," Spirits","3.94","5.80","5.91","4.48","4.57","3.74","3.33","3.04","3.04","3.45"
"Latvia"," Data source"," Other alcoholic beverages","0.53","0.79","0.88","0.78","0.60","0.43","0.16","0.16","0.14","0.11"
"Lebanon"," Data source"," All types","1.61","1.68","1.72","1.82","1.94","2.10","2.19","1.98","2.19","2.26"
"Lebanon"," Data source"," Beer","0.39","0.39","0.39","0.39","0.41","0.45","0.44","0.44","0.44","0.44"
"Lebanon"," Data source"," Wine","0.32","0.42","0.52","0.66","0.77","0.82","0.85","0.59","0.64","0.70"
"Lebanon"," Data source"," Spirits","0.88","0.85","0.79","0.76","0.75","0.82","0.89","0.95","1.11","1.12"
"Lebanon"," Data source"," Other alcoholic beverages","0.02","0.02","0.02","0.02","0.02","0.02","0","0","0","0"
"Lesotho"," Data source"," All types","2.98","2.97","2.90","2.82","2.49","1.81","2.00","2.97","2.87","3.10"
"Lesotho"," Data source"," Beer","1.33","1.35","1.30","1.23","1.26","1.31","1.37","1.48","1.57","1.54"
"Lesotho"," Data source"," Wine","0.01","0.01","0.01","0","0","0","0","0","0.04","0.04"
"Lesotho"," Data source"," Spirits","0.55","0.56","0.55","0.54","0.53","0","0","0.36","0.36","0.37"
"Lesotho"," Data source"," Other alcoholic beverages","1.09","1.05","1.05","1.05","0.70","0.50","0.63","1.14","0.90","1.15"
"Liberia"," Data source"," All types","3.75","3.89","4.04","4.05","4.19","4.24","4.22","4.28","4.41","4.46"
"Liberia"," Data source"," Beer","0.34","0.34","0.34","0.30","0.29","0.25","0.15","0.15","0.17","0.17"
"Liberia"," Data source"," Wine","0.01","0.01","0.01","0","0","0","0","0","0","0"
"Liberia"," Data source"," Spirits","3.40","3.54","3.68","3.75","3.89","3.99","4.07","4.13","4.24","4.29"
"Liberia"," Data source"," Other alcoholic beverages","0","0","0","0","0","0","0","0","0","0"
"Libya"," Data source"," All types","0.01","0.01","0.01","0.01","0","0.01","0.01","0.01","0","0.01"
"Libya"," Data source"," Beer","0.01","0","0","0.01","0","0","0","0","0","0"
"Libya"," Data source"," Wine","0","0","0","0","0","0","0","0","0","0"
"Libya"," Data source"," Spirits","0.01","0.01","0","0","0","0.01","0.01","0","0","0.01"
"Libya"," Data source"," Other alcoholic beverages","0","0","0","0","0","0","0","0","0","0"
"Lithuania"," Data source"," All types","12.40","13.30","13.40","12.70","12.30","12.10","11.29","11.00","10.20","9.87"
"Lithuania"," Data source"," Beer","5.40","5.40","5.60","6.00","5.80","4.62","4.58","4.66","4.00","3.78"
"Lithuania"," Data source"," Wine","0.90","0.90","0.90","1.40","1.40","2.37","2.24","2.06","1.89","2.10"
"Lithuania"," Data source"," Spirits","4.60","5.50","5.30","4.50","4.50","4.31","3.71","3.59","3.67","3.30"
"Lithuania"," Data source"," Other alcoholic beverages","1.50","1.50","1.60","0.80","0.60","0.79","0.76","0.69","0.64","0.69"
"Luxembourg"," Data source"," All types","11.60","11.72","11.94","12.17","12.02","12.42","12.61","12.91","12.89","13.14"
"Luxembourg"," Data source"," Beer","4.27","4.28","4.39","4.57","4.46","4.27","4.36","4.46","4.43","4.62"
"Luxembourg"," Data source"," Wine","4.91","4.97","5.12","5.11","5.12","5.58","5.75","5.86","5.81","5.88"
"Luxembourg"," Data source"," Spirits","2.43","2.48","2.43","2.49","2.44","2.58","2.50","2.59","2.66","2.64"
"Luxembourg"," Data source"," Other alcoholic beverages","0","0","0","0","0","0","0","0","0","0"
"Madagascar"," Data source"," All types","0.91","0.68","0.71","0.68","0.83","0.83","0.94","0.91","1.17","1.31"
"Madagascar"," Data source"," Beer","0.40","0.37","0.38","0.34","0.34","0.36","0.38","0.28","0.41","0.40"
"Madagascar"," Data source"," Wine","0.17","0.17","0.17","0.17","0.15","0.13","0.22","0.22","0.22","0.24"
"Madagascar"," Data source"," Spirits","0.34","0.14","0.16","0.17","0.34","0.34","0.34","0.42","0.54","0.67"
"Madagascar"," Data source"," Other alcoholic beverages","0","0","0","0","0","0","0","0","0","0"
"Malawi"," Data source"," All types","1.78","1.94","1.98","1.98","1.48","1.27","1.24","1.27","1.33","1.38"
"Malawi"," Data source"," Beer","0.15","0.15","0.14","0.14","0.14","0.14","0.15","0.15","0.16","0.16"
"Malawi"," Data source"," Wine","0.02","0.15","0","0.01","0.01","0.01","0.02","0.01","0.01","0"
"Malawi"," Data source"," Spirits","0.21","0.15","0.20","0.22","0.23","0.29","0.25","0.26","0.28","0.30"
"Malawi"," Data source"," Other alcoholic beverages","1.40","1.49","1.63","1.61","1.10","0.83","0.83","0.84","0.88","0.91"
"Malaysia"," Data source"," All types","0.47","0.47","0.43","0.43","0.46","0.49","0.48","0.49","0.53","0.54"
"Malaysia"," Data source"," Beer","0.37","0.37","0.34","0.34","0.38","0.41","0.40","0.41","0.41","0.45"
"Malaysia"," Data source"," Wine","0","0.01","0.01","0","0.01","0.01","0","0","0.04","0.02"
"Malaysia"," Data source"," Spirits","0.09","0.09","0.08","0.08","0.08","0.08","0.08","0.08","0.08","0.08"
"Malaysia"," Data source"," Other alcoholic beverages","0.01","0.01","0","0","0","0","0","0","0","0"
"Maldives"," Data source"," All types","1.62","1.72","1.69","1.57","1.35","1.60","1.76","1.78","1.62","1.47"
"Maldives"," Data source"," Beer","0.46","0.54","0.56","0.53","0.40","0.54","0.51","0.54","0.51","0.38"
"Maldives"," Data source"," Wine","0.32","0.36","0.36","0.29","0.30","0.36","0.36","0.36","0.29","0.30"
"Maldives"," Data source"," Spirits","0.83","0.82","0.77","0.74","0.65","0.65","0.82","0.82","0.76","0.74"
"Maldives"," Data source"," Other alcoholic beverages","0","0","0","0","0","0","0","0","0","0"
"Mali"," Data source"," All types","0.56","0.58","0.55","0.55","0.54","0.54","0.55","0.61","0.60","0.57"
"Mali"," Data source"," Beer","0.07","0.07","0.07","0.06","0.06","0.06","0.06","0.06","0.06","0.06"
"Mali"," Data source"," Wine","0","0","0","0","0","0","0.01","0.05","0.02","0.01"
"Mali"," Data source"," Spirits","0.01","0.02","0.01","0.01","0","0.01","0.01","0.01","0.01","0"
"Mali"," Data source"," Other alcoholic beverages","0.48","0.48","0.47","0.47","0.47","0.47","0.48","0.49","0.50","0.49"
"Malta"," Data source"," All types","7.53","7.27","7.62","9.03","6.55","6.66","6.80","6.11","5.95","5.88"
"Malta"," Data source"," Beer","2.71","2.66","2.37","2.15","1.70","1.86","1.83","2.61","2.72","2.83"
"Malta"," Data source"," Wine","2.94","2.71","3.27","4.95","2.96","3.01","3.08","1.58","1.38","1.17"
"Malta"," Data source"," Spirits","1.55","1.55","1.62","1.60","1.58","1.53","1.87","1.90","1.85","1.88"
"Malta"," Data source"," Other alcoholic beverages","0.33","0.35","0.36","0.33","0.31","0.27","0.02","0.03","0","0"
"Mauritania"," Data source"," All types","0","0.02","0.02","0.01","0.01","0.01","0.01","0.02","0.01","0.03"
"Mauritania"," Data source"," Beer","0","0","0","0","0","0","0","0","0","0"
"Mauritania"," Data source"," Wine","0","0","0","0","0","0","0","0","0","0.01"
"Mauritania"," Data source"," Spirits","0","0.01","0.02","0.01","0.01","0.01","0","0.01","0.01","0.02"
"Mauritania"," Data source"," Other alcoholic beverages","0","0","0","0","0","0","0","0","0","0"
"Mauritius"," Data source"," All types","2.82","2.49","3.24","3.73","3.94","4.17","4.08","4.13","4.37","4.60"
"Mauritius"," Data source"," Beer","1.98","1.57","1.79","1.81","1.96","1.99","2.00","1.92","2.15","2.21"
"Mauritius"," Data source"," Wine","0.26","0.35","0.33","0.30","0.32","0.30","0.28","0.42","0.26","0.29"
"Mauritius"," Data source"," Spirits","0.58","0.56","1.12","1.61","1.66","1.88","1.80","1.79","1.96","2.10"
"Mauritius"," Data source"," Other alcoholic beverages","0","0","0","0","0","0","0","0","0","0"
"Mexico"," Data source"," All types","5.23","5.34","5.35","5.13","4.96","4.93","4.91","4.82","4.93","5.06"
"Mexico"," Data source"," Beer","4.02","4.09","4.11","3.97","3.85","3.76","3.73","3.65","3.70","3.72"
"Mexico"," Data source"," Wine","0.12","0.12","0.12","0.09","0.09","0.11","0.11","0.09","0.09","0.09"
"Mexico"," Data source"," Spirits","1.06","1.10","1.08","1.04","0.99","1.04","1.07","1.08","1.13","1.24"
"Mexico"," Data source"," Other alcoholic beverages","0.03","0.03","0.03","0.03","0.03","0.03","0","0","0","0"
"Micronesia (Federated States of)"," Data source"," All types","2.05","1.97","1.63","1.73","1.90","2.03","3.16","2.79","2.83","2.23"
"Micronesia (Federated States of)"," Data source"," Beer","1.18","1.02","0.72","0.71","1.49","1.69","3.05","2.69","2.75","2.14"
"Micronesia (Federated States of)"," Data source"," Wine","0.03","0.18","0.14","0.09","0.16","0.19","0.04","0.04","0.02","0.01"
"Micronesia (Federated States of)"," Data source"," Spirits","0.85","0.76","0.77","0.94","0.25","0.14","0.06","0.07","0.07","0.07"
"Micronesia (Federated States of)"," Data source"," Other alcoholic beverages","0","0","0","0","0","0","0","0","0","0"
"Mongolia"," Data source"," All types","4.64","4.14","3.61","3.44","2.73","1.68","1.39","1.42","0.92","2.01"
"Mongolia"," Data source"," Beer","1.01","1.42","0.96","0.78","0.77","0.46","0.39","0.54","0.09","0.48"
"Mongolia"," Data source"," Wine","0.11","0.07","0.10","0.07","0.06","0.09","0.11","0.11","0.11","0.11"
"Mongolia"," Data source"," Spirits","3.40","2.77","2.55","2.59","1.89","0.86","0.67","0.51","0.47","1.15"
"Mongolia"," Data source"," Other alcoholic beverages","0","0","0","0","0","0.28","0.21","0.26","0.25","0.27"
"Montenegro"," Data source"," All types","7.26","6.94","5.69","6.53","","","","","",""
"Montenegro"," Data source"," Beer","0.70","0.71","0.48","0.02","","","","","",""
"Montenegro"," Data source"," Wine","4.02","3.66","2.47","3.57","","","","","",""
"Montenegro"," Data source"," Spirits","2.37","2.35","2.31","2.25","","","","","",""
"Montenegro"," Data source"," Other alcoholic beverages","0.17","0.22","0.21","0.20","","","","","",""
"Morocco"," Data source"," All types","0.62","0.57","0.56","0.58","0.53","0.56","0.58","0.46","0.46","0.45"
"Morocco"," Data source"," Beer","0.23","0.24","0.22","0.22","0.23","0.23","0.22","0.24","0.23","0.21"
"Morocco"," Data source"," Wine","0.29","0.24","0.25","0.29","0.24","0.28","0.30","0.18","0.18","0.19"
"Morocco"," Data source"," Spirits","0.10","0.09","0.08","0.07","0.06","0.06","0.06","0.05","0.05","0.05"
"Morocco"," Data source"," Other alcoholic beverages","0","0","0","0","0","0","0","0","0","0"
"Mozambique"," Data source"," All types","0.74","0.76","0.69","0.60","0.62","0.59","1.69","2.19","2.14","1.17"
"Mozambique"," Data source"," Beer","0.57","0.59","0.55","0.51","0.52","0.49","0.46","0.44","0.51","0.53"
"Mozambique"," Data source"," Wine","0.12","0.11","0.09","0.09","0.09","0.08","0.07","0.09","0.07","0.07"
"Mozambique"," Data source"," Spirits","0.05","0.06","0.04","0","0","0.02","1.12","1.59","1.50","0.53"
"Mozambique"," Data source"," Other alcoholic beverages","0","0","0","0","0","0","0.06","0.06","0.05","0.03"
"Myanmar"," Data source"," All types","0.86","0.78","0.72","0.65","0.62","0.62","0.59","0.14","0.12","0.11"
"Myanmar"," Data source"," Beer","0.14","0.13","0.12","0.12","0.13","0.13","0.13","0.12","0.11","0.10"
"Myanmar"," Data source"," Wine","0","0","0","0","0","0","0","0","0","0"
"Myanmar"," Data source"," Spirits","0.72","0.65","0.60","0.53","0.49","0.49","0.47","0.01","0.01","0.01"
"Myanmar"," Data source"," Other alcoholic beverages","0","0","0","0","0","0","0","0","0","0"
"Namibia"," Data source"," All types","7.87","6.16","5.00","4.84","4.74","4.55","5.04","4.84","4.87","5.50"
"Namibia"," Data source"," Beer","7.63","5.94","3.75","3.57","3.36","3.19","3.30","3.58","3.43","3.60"
"Namibia"," Data source"," Wine","0.02","0.03","0.28","0.23","0.11","0.12","0.67","0.29","0.53","0.88"
"Namibia"," Data source"," Spirits","0.06","0.04","0.78","0.80","0.98","0.99","0.82","0.75","0.69","0.80"
"Namibia"," Data source"," Other alcoholic beverages","0.15","0.15","0.20","0.24","0.29","0.25","0.25","0.21","0.22","0.22"
"Nauru","  "," All types","2.01","2.54","2.24","2.16","1.91","2.29","1.94","2.79","2.71","5.19"
"Nauru","  "," Beer","1.84","1.85","1.85","1.80","1.76","1.53","1.42","1.62","2.71","3.93"
"Nauru","  "," Wine","0.04","0.04","0.06","0.04","0.02","0.11","0.08","0.14","0","0"
"Nauru","  "," Spirits","0.13","0.65","0.33","0.32","0.12","0.65","0.45","1.03","0","1.26"
"Nauru","  "," Other alcoholic beverages","0","0","0","0","0","0","0","0","0","0"
"Nauru"," Data source"," All types","2.01","2.54","2.24","2.16","1.91","2.29","1.94","2.79","2.71","5.19"
"Nauru"," Data source"," Beer","1.84","1.85","1.85","1.80","1.76","1.53","1.42","1.62","2.71","3.93"
"Nauru"," Data source"," Wine","0.04","0.04","0.06","0.04","0.02","0.11","0.08","0.14","0","0"
"Nauru"," Data source"," Spirits","0.13","0.65","0.33","0.32","0.12","0.65","0.45","1.03","0","1.26"
"Nauru"," Data source"," Other alcoholic beverages","0","0","0","0","0","0","0","0","0","0"
"Nepal"," Data source"," All types","0.22","0.21","0.20","0.20","0.23","0.23","0.20","0.19","0.09","0.08"
"Nepal"," Data source"," Beer","0.10","0.08","0.08","0.07","0.08","0.08","0.08","0.08","0.08","0.07"
"Nepal"," Data source"," Wine","0","0","0","0","0","0","0","0","0","0"
"Nepal"," Data source"," Spirits","0.12","0.12","0.12","0.12","0.14","0.14","0.11","0.11","0.01","0.01"
"Nepal"," Data source"," Other alcoholic beverages","0","0","0","0","0","0","0","0","0","0"
"Netherlands"," Data source"," All types","9.22","9.61","9.51","9.78","9.67","9.56","9.56","9.68","9.95","10.06"
"Netherlands"," Data source"," Beer","4.37","4.74","4.76","4.77","4.77","4.80","4.81","4.83","4.87","4.99"
"Netherlands"," Data source"," Wine","3.28","3.28","3.17","3.42","3.30","3.10","2.94","2.84","2.98","3.01"
"Netherlands"," Data source"," Spirits","1.58","1.58","1.59","1.59","1.59","1.66","1.81","2.01","2.10","2.06"
"Netherlands"," Data source"," Other alcoholic beverages","0","0","0","0","0","0","0","0","0","0"
"New Zealand"," Data source"," All types","9.23","9.47","9.19","9.35","9.33","9.17","8.93","9.10","8.70","8.84"
"New Zealand"," Data source"," Beer","3.78","4.02","3.94","3.95","4.10","4.11","4.17","4.24","4.17","4.22"
"New Zealand"," Data source"," Wine","3.03","3.03","3.00","3.10","3.00","2.85","2.73","2.74","2.51","2.57"
"New Zealand"," Data source"," Spirits","2.38","2.37","2.20","2.26","2.18","2.15","1.95","2.02","1.91","1.92"
"New Zealand"," Data source"," Other alcoholic beverages","0.04","0.04","0.05","0.05","0.05","0.06","0.08","0.10","0.11","0.13"
"Nicaragua"," Data source"," All types","3.32","3.58","3.77","3.63","3.64","3.75","3.72","3.46","3.48","3.58"
"Nicaragua"," Data source"," Beer","1.30","1.36","1.28","1.17","1.12","1.07","1.08","1.03","1.04","1.04"
"Nicaragua"," Data source"," Wine","0.01","0.02","0.02","0.01","0.01","0.01","0.02","0.01","0.01","0.02"
"Nicaragua"," Data source"," Spirits","2.00","2.21","2.46","2.46","2.51","2.67","2.63","2.42","2.43","2.52"
"Nicaragua"," Data source"," Other alcoholic beverages","0","0","0","0","0","0","0","0","0","0"
"Niger"," Data source"," All types","0.10","0.11","0.10","0.10","0.10","0.10","0.10","0.09","0.09","0.09"
"Niger"," Data source"," Beer","0.05","0.05","0.05","0.05","0.05","0.05","0.05","0.05","0.06","0.06"
"Niger"," Data source"," Wine","0.01","0.01","0.01","0.01","0.02","0.01","0.01","0.01","0.01","0.01"
"Niger"," Data source"," Spirits","0.04","0.04","0.04","0.04","0.03","0.04","0.03","0.03","0.02","0.02"
"Niger"," Data source"," Other alcoholic beverages","0","0","0","0","0","0","0","0","0","0"
"Nigeria"," Data source"," All types","10.49","10.71","10.98","11.09","11.16","11.25","11.25","11.02","11.10","11.40"
"Nigeria"," Data source"," Beer","0.65","0.64","0.64","0.60","0.54","0.52","0.53","0.45","0.45","0.42"
"Nigeria"," Data source"," Wine","0.02","0.06","0.04","0","0","0","0","0","0","0"
"Nigeria"," Data source"," Spirits","0.03","0.03","0.06","0.02","0.02","0.01","0.02","0","0.02","0"
"Nigeria"," Data source"," Other alcoholic beverages","9.80","9.98","10.23","10.47","10.61","10.71","10.71","10.57","10.63","10.98"
"Niue"," Data source"," All types","7.06","7.02","5.02","7.10","6.22","6.80","8.27","5.16","9.17","7.42"
"Niue"," Data source"," Beer","3.10","3.30","2.10","3.76","3.15","4.92","2.23","1.29","2.10","4.12"
"Niue"," Data source"," Wine","0.36","0.12","0.12","0.34","1.89","0.11","0.10","1.13","0","0"
"Niue"," Data source"," Spirits","3.60","3.60","2.80","3.00","2.96","1.77","5.94","2.74","7.07","3.30"
"Niue"," Data source"," Other alcoholic beverages","0","0","0","0","0","0","0","0","0","0"
"Norway"," Data source"," All types","6.68","6.75","6.60","6.47","6.37","6.22","6.04","5.89","5.49","5.67"
"Norway"," Data source"," Beer","2.96","3.06","3.02","3.01","2.98","2.96","2.76","2.89","2.82","2.93"
"Norway"," Data source"," Wine","2.28","2.23","2.11","2.05","2.00","1.90","1.84","1.81","1.60","1.62"
"Norway"," Data source"," Spirits","1.31","1.33","1.35","1.30","1.28","1.25","1.22","1.12","1.00","1.05"
"Norway"," Data source"," Other alcoholic beverages","0.13","0.13","0.12","0.11","0.11","0.11","0.22","0.07","0.07","0.07"
"Oman"," Data source"," All types","0.53","0.54","0.54","0.56","0.62","0.61","0.56","0.54","0.55","0.38"
"Oman"," Data source"," Beer","0.22","0.22","0.21","0.21","0.21","0.21","0.21","0.24","0.28","0.13"
"Oman"," Data source"," Wine","0.02","0.02","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0"
"Oman"," Data source"," Spirits","0.29","0.31","0.32","0.33","0.40","0.39","0.35","0.29","0.27","0.25"
"Oman"," Data source"," Other alcoholic beverages","0","0","0","0","0","0","0","0","0","0"
"Pakistan"," Data source"," All types","0.03","0.03","0.03","0.03","0.04","0.01","0.01","0.01","0.01","0.02"
"Pakistan"," Data source"," Beer","0","0","0","0","0","0","0","0","0","0"
"Pakistan"," Data source"," Wine","0","0","0","0","0","0","0","0","0","0"
"Pakistan"," Data source"," Spirits","0.03","0.03","0.03","0.03","0.03","0","0","0","0","0"
"Pakistan"," Data source"," Other alcoholic beverages","0","0","0","0","0.01","0.01","0.01","0.01","0.01","0.01"
"Panama"," Data source"," All types","6.90","6.74","6.15","5.73","5.55","5.72","5.55","5.55","5.47","5.61"
"Panama"," Data source"," Beer","4.81","4.64","4.20","3.83","3.61","3.62","3.41","3.37","3.40","3.43"
"Panama"," Data source"," Wine","0.22","0.20","0.18","0.17","0.15","0.21","0.14","0.13","0.11","0.13"
"Panama"," Data source"," Spirits","1.86","1.89","1.76","1.73","1.78","1.86","1.99","2.04","1.95","2.04"
"Panama"," Data source"," Other alcoholic beverages","0.01","0.02","0.01","0.01","0.01","0.02","0.01","0.01","0.01","0.01"
"Papua New Guinea"," Data source"," All types","0.82","0.81","0.71","0.64","0.84","0.58","0.59","0.61","0.68","0.74"
"Papua New Guinea"," Data source"," Beer","0.79","0.76","0.68","0.61","0.81","0.56","0.57","0.59","0.63","0.58"
"Papua New Guinea"," Data source"," Wine","0.02","0.02","0.01","0.02","0.02","0.01","0.01","0.01","0.01","0.05"
"Papua New Guinea"," Data source"," Spirits","0.02","0.03","0.02","0.02","0.01","0.02","0.01","0.01","0.04","0.11"
"Papua New Guinea"," Data source"," Other alcoholic beverages","0","0","0","0","0","0","0","0","0","0"
"Paraguay"," Data source"," All types","6.64","7.69","6.66","6.51","5.98","5.62","4.76","5.02","5.82","6.18"
"Paraguay"," Data source"," Beer","3.27","3.55","2.98","3.00","2.84","2.63","2.27","2.66","3.08","2.98"
"Paraguay"," Data source"," Wine","1.80","2.52","1.93","1.80","1.44","1.30","0.82","0.69","0.98","1.49"
"Paraguay"," Data source"," Spirits","1.53","1.61","1.74","1.70","1.70","1.68","1.68","1.67","1.75","1.70"
"Paraguay"," Data source"," Other alcoholic beverages","0.04","0.01","0.01","0.01","0","0","0","0","0","0"
"Peru"," Data source"," All types","5.18","5.14","4.70","4.67","4.96","4.70","4.75","4.06","4.22","4.87"
"Peru"," Data source"," Beer","3.06","2.85","2.60","2.33","2.14","1.91","1.77","1.65","1.58","1.85"
"Peru"," Data source"," Wine","0.50","0.62","0.61","0.61","0.60","0.51","0.52","0.47","0.44","0.35"
"Peru"," Data source"," Spirits","1.62","1.66","1.49","1.72","2.22","2.27","2.46","1.95","2.21","2.67"
"Peru"," Data source"," Other alcoholic beverages","0.01","0.01","0.01","0.01","0.01","0.01","0","0","0","0"
"Philippines"," Data source"," All types","4.37","4.18","4.16","4.06","4.21","4.43","4.43","4.40","4.54","4.73"
"Philippines"," Data source"," Beer","1.21","1.22","1.19","1.14","1.29","1.35","1.20","1.11","1.12","1.18"
"Philippines"," Data source"," Wine","0.04","0.04","0.02","0.02","0.02","0.02","0.02","0.02","0.01","0.01"
"Philippines"," Data source"," Spirits","3.09","2.91","2.95","2.90","2.90","3.06","3.21","3.28","3.41","3.54"
"Philippines"," Data source"," Other alcoholic beverages","0.03","0.01","0","0","0","0","0","0","0","0"
"Poland"," Data source"," All types","10.70","11.40","10.90","10.40","9.50","9.19","9.06","8.02","7.74","8.40"
"Poland"," Data source"," Beer","5.90","6.10","6.10","5.90","5.30","4.66","4.51","4.31","4.08","4.14"
"Poland"," Data source"," Wine","1.00","1.20","1.30","1.30","1.20","1.53","1.64","1.64","1.56","1.78"
"Poland"," Data source"," Spirits","3.80","4.10","3.50","3.20","3.00","3.01","2.90","2.07","2.09","2.48"
"Poland"," Data source"," Other alcoholic beverages","0","0","0","0","0","0","0","0","0","0"
"Portugal"," Data source"," All types","12.03","12.35","12.59","13.12","13.34","13.47","14.21","13.23","13.41","13.08"
"Portugal"," Data source"," Beer","3.41","3.55","3.71","3.78","3.76","3.70","3.57","3.58","3.65","3.75"
"Portugal"," Data source"," Wine","7.21","7.29","7.31","7.78","7.97","8.05","8.74","7.71","7.83","7.74"
"Portugal"," Data source"," Spirits","0.94","1.01","1.06","1.08","1.12","1.23","1.57","1.59","1.60","1.57"
"Portugal"," Data source"," Other alcoholic beverages","0.47","0.50","0.51","0.49","0.48","0.48","0.33","0.35","0.33","0.02"
"Puerto Rico"," Data source"," All types","4.76","4.87","5.06","5.26","5.35","5.30","5.50","5.85","6.06","6.28"
"Puerto Rico"," Data source"," Beer","3.29","3.35","3.54","3.64","3.68","3.62","3.70","3.88","3.97","4.15"
"Puerto Rico"," Data source"," Wine","0.32","0.32","0.32","0.35","0.34","0.33","0.32","0.33","0.31","0.30"
"Puerto Rico"," Data source"," Spirits","1.09","1.13","1.13","1.18","1.23","1.26","1.47","1.63","1.77","1.82"
"Puerto Rico"," Data source"," Other alcoholic beverages","0.07","0.07","0.07","0.09","0.09","0.10","0","0","0","0"
"Qatar"," Data source"," All types","1.08","1.34","1.20","1.24","1.16","1.11","1.00","0.87","0.76","0.50"
"Qatar"," Data source"," Beer","0.33","0.35","0.37","0.39","0.35","0.28","0.25","0.21","0.13","0.09"
"Qatar"," Data source"," Wine","0.09","0.27","0.12","0.17","0.11","0.10","0.07","0.05","0.05","0"
"Qatar"," Data source"," Spirits","0.66","0.71","0.71","0.67","0.70","0.73","0.68","0.61","0.58","0.41"
"Qatar"," Data source"," Other alcoholic beverages","0","0.01","0.01","0.01","0","0.01","0","0","0","0"
"Republic of Korea"," Data source"," All types","8.97","9.31","9.05","8.83","9.03","9.18","9.66","9.55","11.45","10.33"
"Republic of Korea"," Data source"," Beer","2.37","2.43","2.34","2.22","1.89","2.00","2.32","2.41","2.37","2.23"
"Republic of Korea"," Data source"," Wine","0.14","0.18","0.19","0.14","0.12","0.15","0.04","0.04","0.04","0.03"
"Republic of Korea"," Data source"," Spirits","0.27","0.33","0.37","0.33","0.34","0.32","0.47","0.52","0.47","0.46"
"Republic of Korea"," Data source"," Other alcoholic beverages","6.19","6.37","6.15","6.14","6.68","6.72","6.82","6.58","8.56","7.61"
"Republic of Moldova"," Data source"," All types","7.77","8.35","8.94","7.72","10.16","11.77","7.76","6.44","10.78","9.77"
"Republic of Moldova"," Data source"," Beer","1.60","1.96","1.92","1.68","1.45","1.27","1.00","0.82","0.62","0.47"
"Republic of Moldova"," Data source"," Wine","2.74","2.75","3.05","1.90","4.12","6.10","2.86","1.99","6.66","5.80"
"Republic of Moldova"," Data source"," Spirits","3.19","3.36","3.57","3.48","3.90","3.71","3.89","3.64","3.51","3.50"
"Republic of Moldova"," Data source"," Other alcoholic beverages","0.24","0.29","0.40","0.67","0.69","0.68","0","0","0","0"
"Romania"," Data source"," All types","11.77","13.11","11.60","10.29","9.95","9.82","8.78","9.62","9.78","10.16"
"Romania"," Data source"," Beer","4.90","5.50","5.44","4.62","4.07","4.24","3.64","3.38","3.12","3.18"
