"","","","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)"
"Belgium"," Data source"," Spirits","1.45","1.59","3.96","0.99","1.97","1.84","1.07","0.95","0.93","1.00"
"Belgium"," Data source"," Other alcoholic beverages","0.05","0.06","0.02","0.02","0.02","0.02","0.04","0.04","0.04","0.04"
"Belize"," Data source"," All types","6.45","6.86","6.93","6.22","6.06","6.04","5.53","4.87","4.77","4.67"
"Belize"," Data source"," Beer","4.36","4.70","4.74","4.01","3.86","3.88","3.60","3.01","2.87","2.76"
"Belize"," Data source"," Wine","0.17","0.14","0.16","0.12","0.14","0.12","0.15","0.11","0.14","0.14"
"Belize"," Data source"," Spirits","1.73","1.87","1.91","1.98","2.01","2.03","1.77","1.74","1.75","1.77"
"Belize"," Data source"," Other alcoholic beverages","0.18","0.15","0.13","0.11","0.05","0.01","0","0","0","0"
"Benin"," Data source"," All types","1.21","1.34","1.20","1.26","1.22","1.23","1.44","1.33","1.38","1.43"
"Benin"," Data source"," Beer","0.62","0.62","0.55","0.53","0.51","0.53","0.70","0.73","0.66","0.54"
"Benin"," Data source"," Wine","0.20","0.16","0.17","0.17","0.14","0.12","0.12","0.10","0.12","0.12"
"Benin"," Data source"," Spirits","0.15","0.25","0.10","0.19","0.16","0.15","0.19","0.02","0.13","0.31"
"Benin"," Data source"," Other alcoholic beverages","0.25","0.31","0.38","0.38","0.41","0.42","0.44","0.47","0.48","0.46"
"Bhutan"," Data source"," All types","0.22","0.30","0.20","0.33","1.10","0.96","0.52","0.29","1.42","1.66"
"Bhutan"," Data source"," Beer","0.17","0.21","0.16","0.29","0.73","0.96","0.49","0.29","1.42","1.66"
"Bhutan"," Data source"," Wine","0.02","0.06","0.02","0.02","0.01","0","0","0","0","0"
